2026-06-05 10:23:43 [INFO] Starting OCR fallback: report_path=C:\Users\13178\Desktop\A题\A_MAGE_R3\output\tables\pdf_parse_report.xlsx input_dir=C:\Users\13178\Desktop\A题\A_MAGE_R3\data\appendix1_papers output_dir=C:\Users\13178\Desktop\A题\A_MAGE_R3\data\extracted_text
2026-06-05 10:23:44 [INFO] OCR target PDFs found: 1
2026-06-05 10:23:48 [INFO] 25.pdf | page 1 OCR chars=1046
2026-06-05 10:23:52 [INFO] 25.pdf | page 2 OCR chars=1340
2026-06-05 10:23:56 [INFO] 25.pdf | page 3 OCR chars=1230
2026-06-05 10:24:00 [INFO] 25.pdf | page 4 OCR chars=1120
2026-06-05 10:24:04 [INFO] 25.pdf | page 5 OCR chars=1040
2026-06-05 10:24:06 [INFO] 25.pdf | page 6 OCR chars=839
2026-06-05 10:24:10 [INFO] 25.pdf | page 7 OCR chars=1128
2026-06-05 10:24:11 [INFO] 25.pdf | page 8 OCR chars=123
2026-06-05 10:24:53 [INFO] 25.pdf | page 9 OCR chars=831
2026-06-05 10:24:56 [INFO] 25.pdf | page 10 OCR chars=769
2026-06-05 10:25:11 [INFO] 25.pdf | page 11 OCR chars=819
2026-06-05 10:25:14 [INFO] 25.pdf | page 12 OCR chars=836
2026-06-05 10:25:16 [INFO] 25.pdf | page 13 OCR chars=735
2026-06-05 10:25:19 [INFO] 25.pdf | page 14 OCR chars=716
2026-06-05 10:25:22 [INFO] 25.pdf | page 15 OCR chars=1117
2026-06-05 10:25:27 [INFO] 25.pdf | page 16 OCR chars=1196
2026-06-05 10:25:31 [INFO] 25.pdf | page 17 OCR chars=1206
2026-06-05 10:25:34 [INFO] 25.pdf | page 18 OCR chars=854
2026-06-05 10:25:36 [INFO] 25.pdf | page 19 OCR chars=561
2026-06-05 10:25:38 [INFO] 25.pdf | page 20 OCR chars=726
2026-06-05 10:25:42 [INFO] 25.pdf | page 21 OCR chars=879
2026-06-05 10:25:45 [INFO] 25.pdf | page 22 OCR chars=1225
2026-06-05 10:25:49 [INFO] 25.pdf | page 23 OCR chars=1088
2026-06-05 10:25:51 [INFO] 25.pdf | page 24 OCR chars=727
2026-06-05 10:25:53 [INFO] 25.pdf | page 25 OCR chars=701
2026-06-05 10:25:58 [INFO] 25.pdf | page 26 OCR chars=1234
2026-06-05 10:26:02 [INFO] 25.pdf | page 27 OCR chars=1242
2026-06-05 10:26:06 [INFO] 25.pdf | page 28 OCR chars=1068
2026-06-05 10:26:10 [INFO] 25.pdf | page 29 OCR chars=1131
2026-06-05 10:26:11 [INFO] 25.pdf | page 30 OCR chars=489
2026-06-05 10:26:13 [INFO] 25.pdf | page 31 OCR chars=503
2026-06-05 10:26:14 [INFO] 25.pdf | page 32 OCR chars=848
2026-06-05 10:26:16 [INFO] 25.pdf | page 33 OCR chars=617
2026-06-05 10:26:17 [INFO] 25.pdf | page 34 OCR chars=635
2026-06-05 10:26:19 [INFO] 25.pdf | page 35 OCR chars=919
2026-06-05 10:26:20 [INFO] 25.pdf | page 36 OCR chars=526
2026-06-05 10:26:20 [INFO] 25.pdf OCR succeeded: pages=36 success_pages=36 chars=32064 output=C:\Users\13178\Desktop\A题\A_MAGE_R3\data\extracted_text\25.txt
2026-06-05 10:26:20 [INFO] OCR fallback finished: targets=1 failed=0 report=C:\Users\13178\Desktop\A题\A_MAGE_R3\output\tables\ocr_parse_report.xlsx
